"wordID","wordContent"
"2899","abbreviation"
"3413","ability"
"3598","abnormal"
"3679","abolish"
"3728","aboriginal"
"3737","abort"
"3762","abortion"
"3801","abound"
"3960","abrasion"
"4058","abridge"
"4117","abrupt"
"4569","absorb"
"4830","abstract"
"4923","absurd"
"4977","abundance"
"4994","abuse"
"5159","academic"
"5479","accelerate"
"5831","access"
"5897","accessible"
"5956","accessory"
"6127","accidents"
"6146","acclaim"
"6198","accommodate"
"6210","accommodation"
"6238","accommodations"
"6263","accompany"
"6278","accomplish"
"6297","accord"
"6356","account"
"6376","account for"
"6467","accountant"
"6482","accountants"
"6488","accounting"
"6851","accumulate"
"6965","accuracy"
"6981","accurate"
"7014","accuse"
"7024","accuser"
"8004","achieve"
"8014","achievement"
"8283","acid"
"9013","acknowledge"
"9520","acquaint"
"9547","acquire"
"9593","acquisition"
"10561","action"
"10707","actions"
"10723","activate"
"11049","activities"
"11052","activity"
"11120","actor"
"11464","acute"
"12002","adapt"
"12290","addict"
"12354","addition"
"12387","additional"
"12543","address"
"13058","adept"
"13071","adequate"
"13135","adhere"
"13520","adjacent"
"13585","adjoin"
"13688","adjust"
"13966","administer"
"13998","administration"
"14124","administrator"
"14217","admission"
"14357","adolescence"
"14411","adopt"
"14478","adore"
"14860","adult"
"14921","adults"
"15023","advanced"
"15137","advantages"
"15146","advent"
"15222","adverse"
"15261","advertise"
"15268","advertisement"
"15273","advertisements"
"15277","advertising"
"15317","advice"
"15402","advocate"
"15729","aerial"
"16386","aesthetic"
"16559","affairs"
"16563","affect"
"16581","affection"
"16655","affiliate"
"16715","affirm"
"16747","affix"
"16767","afflict"
"16794","afford"
"16962","Africa"
"16966","African"
"17693","age"
"17802","agencies"
"17803","agency"
"17832","agenda"
"18023","aggravate"
"18049","aggregate"
"18134","aggressive"
"18244","agitation"
"18464","agony"
"18546","agreeable"
"18574","agreement"
"18672","agriculture"
"19111","AIDS"
"19204","aim"
"19270","air"
"20478","airport"
"20577","aisle"
"21130","alarm"
"21175","Alaska"
"21497","album"
"22906","alien"
"22925","alienate"
"23806","all"
"24341","allege"
"24375","allegiance"
"24494","allergic"
"24529","allergy"
"24543","alleviate"
"24553","alley"
"24590","alliance"
"24763","allocate"
"25055","allot"
"25206","allowance"
"25282","alloy"
"25401","ally"
"25753","alone"
"25769","alongside"
"26113","alphabetical"
"26442","alter"
"26513","alternate"
"26702","alternative"
"26834","altitude"
"27876","amateur"
"27921","amaze"
"27930","amazing"
"27969","ambassador"
"28059","ambiguity"
"28070","ambiguous"
"28112","ambition"
"28115","ambitious"
"28265","ambulance"
"28476","amend"
"28515","amends"
"28568","America"
"28572","American"
"29039","amid"
"29129","amidst"
"29967","ammunition"
"30303","amount"
"30489","amphibian"
"30809","ample"
"30857","amplify"
"31092","amuse"
"32099","analogy"
"32131","analysis"
"32218","analytical"
"32678","ancestor"
"32704","anchor"
"32821","ancient"
"33358","anecdote"
"33780","anger"
"34512","angry"
"34981","animal"
"35109","animals"
"35430","ankle"
"35692","annihilate"
"35713","anniversary"
"35757","announcement"
"35770","annoy"
"35781","annual"
"35880","annuity"
"36316","anonymous"
"36782","antagonism"
"36831","antarctic"
"36879","antecedent"
"37304","anthem"
"37397","anthology"
"37612","anthropology"
"38387","antibiotic"
"38397","antibiotics"
"38504","anticipate"
"38530","anticipation"
"39770","antique"
"40356","antonym"
"40502","anxiety"
"40566","anyhow"
"40812","apartment"
"40866","ape"
"40990","apes"
"41672","apologetic"
"41929","apostrophe"
"42030","apparatus"
"42061","apparent"
"42153","appeal"
"42215","appearance"
"42355","appendix"
"42397","appetite"
"42421","applaud"
"42518","appliance"
"42541","applicant"
"42552","application"
"42698","applied"
"42757","apply"
"42817","appointment"
"42885","appraisal"
"42919","appreciable"
"42922","appreciate"
"42955","apprehension"
"42961","apprentice"
"42988","approach"
"43015","approaches"
"43040","appropriate"
"43108","approval"
"43165","approximate"
"43265","April"
"43348","apt"
"43378","aptitude"
"43599","aquarium"
"43617","aquatic"
"44204","arbitrary"
"44389","arc"
"44554","arch"
"44615","archaeological"
"44633","archaic"
"44826","architect"
"44854","architecture"
"44885","archives"
"44994","arctic"
"45163","ardent"
"45201","arduous"
"45218","area"
"45349","areas"
"45402","arena"
"45723","argue"
"45754","argument"
"45982","arise"
"46670","armour"
"46732","army"
"47079","arouse"
"47191","array"
"47421","arrival"
"47466","arrogant"
"47831","art"
"48562","artery"
"48815","article"
"48826","articles"
"48885","articulate"
"49044","artificial"
"49273","artillery"
"49309","artistic"
"49528","as"
"50180","ascend"
"50255","ascent"
"50258","ascertain"
"50433","ascribe"
"50613","ashamed"
"50754","Asia"
"51302","aspiration"
"51317","aspire"
"51323","aspirin"
"51435","assassination"
"51442","assault"
"51491","assemble"
"51666","assert"
"51701","assess"
"51730","assessment"
"51763","asset"
"51844","assign"
"51892","assignment"
"51942","assignments"
"51953","assimilate"
"51991","assistance"
"51997","assistant"
"52061","associate"
"52134","association"
"52252","assorted"
"52285","assume"
"52327","assumption"
"52343","assurance"
"52350","assure"
"52661","astound"
"52877","astronomy"
"52986","asylum"
"53987","Athens"
"54049","athlete"
"54219","atlas"
"54280","atmospheric"
"55036","attach"
"55114","attack"
"55132","attacks"
"55138","attain"
"55186","attempt"
"55206","attempts"
"55210","attend"
"55221","attendance"
"55236","attendant"
"55258","attention"
"55284","attentive"
"55422","attorney"
"55462","attractive"
"55484","attribute"
"55691","auction"
"55747","audible"
"55758","audience"
"55773","audio"
"55908","audit"
"55991","audition"
"56017","auditorium"
"56178","augment"
"56226","august"
"56804","Australia"
"56807","Australian"
"56938","authentic"
"56967","author"
"56996","authoritative"
"57003","authority"
"57035","authorize"
"57862","automatic"
"58315","automation"
"58365","automobile"
"58488","autonomy"
"58937","auxiliary"
"59129","avail"
"59142","available"
"59219","avalanche"
"59372","avenue"
"59378","average"
"59621","avert"
"59681","aviation"
"59841","avoid"
"59988","award"
"60014","aware"
"60016","awareness"
"60062","awful"
"60076","awkward"
"60363","axis"
"62232","back"
"62777","background"
"63118","backward"
"63231","bacon"
"63263","bacteria"
"63473","bacterium"
"63774","badge"
"63829","badminton"
"63907","baffle"
"64001","baggage"
"64299","bait"
"64346","bake"
"64520","balance"
"64900","balcony"
"64901","bald"
"64938","baldness"
"65275","ballet"
"65371","balloon"
"65413","ballot"
"65447","ballroom"
"65713","bamboo"
"65766","ban"
"65854","band"
"65980","bandage"
"66119","bands"
"66179","bang"
"66249","banish"
"66276","bank"
"66513","banking"
"66559","bankrupt"
"66610","banner"
"66654","banquet"
"66805","bar"
"67046","barbecue"
"67073","barber"
"67268","bare"
"67359","barely"
"67395","bargain"
"67681","bark"
"67813","barn"
"67941","barometer"
"68163","barrel"
"68235","barren"
"68263","barricade"
"68274","barrier"
"68397","barter"
"68901","baseball"
"69010","basement"
"69087","basic"
"69561","basis"
"70041","batch"
"70179","bath"
"70228","bathe"
"70297","bathroom"
"70485","batter"
"70510","battery"
"70985","bay"
"73555","beach"
"73648","bead"
"73772","beam"
"73952","bear"
"74100","beard"
"74161","bearing"
"74249","beat"
"74397","beats"
"74483","beautiful"
"74492","beauty"
"74736","become"
"75066","bedroom"
"75075","beds"
"75086","bedsit"
"75541","beforehand"
"75675","beginners"
"75677","beginning"
"75766","behalf"
"75772","behave"
"75782","behavior"
"76574","belly"
"76683","beloved"
"76829","belts"
"77061","bend"
"77236","beneficial"
"77275","benefit"
"77311","benefits"
"77596","bent"
"78710","Berlin"
"78957","berth"
"79125","beset"
"79291","best"
"79444","bet"
"79786","betray"
"79834","better"
"80047","beverage"
"80099","bewilder"
"80518","bias"
"80648","bible"
"80690","bibliography"
"80978","bicycle"
"80997","bicycles"
"81018","bid"
"81876","bilateral"
"82087","bilingual"
"82167","bill"
"82834","bind"
"83444","biography"
"83490","biological"
"83571","biology"
"84379","birds"
"84489","Birmingham"
"84524","birth"
"85235","bite"
"85385","bitter"
"85493","bitumen"
"85660","bizarre"
"85747","black"
"86664","blame"
"86762","blank"
"86848","blanket"
"86966","blast"
"87272","blaze"
"87317","bleach"
"87364","bleak"
"87415","bleed"
"87493","blend"
"87698","bless"
"87796","blind"
"87920","blink"
"88064","bloc"
"88076","block"
"88318","blocks"
"88369","blond"
"88370","blonde"
"88391","blood"
"88770","bloom"
"88826","blossom"
"88836","blot"
"88875","blouse"
"89654","blunder"
"89679","blunt"
"89704","blur"
"89731","blush"
"89869","board"
"89978","boast"
"89989","boat"
"90889","boil"
"91124","bold"
"91309","bolt"
"91611","bond"
"91931","bones"
"92084","bonus"
"92197","book"
"92363","bookcase"
"92388","booking"
"92410","bookkeeper"
"92430","booklet"
"92432","booklist"
"92461","books"
"92474","bookshelf"
"92476","bookshop"
"92560","boom"
"92645","boost"
"92685","boot"
"92729","booth"
"92776","boots"
"92924","border"
"93015","bore"
"93760","bother"
"94345","bounce"
"94375","bound"
"94410","boundary"
"94538","bounty"
"94543","bouquet"
"94820","bowel"
"94914","bowling"
"94925","bowls"
"95168","boycott"
"95316","brace"
"95551","bracket"
"95973","brake"
"96137","branch"
"96339","brand"
"96868","breach"
"97002","break"
"97274","breakdown"
"97326","breakfast"
"97412","breakthrough"
"97639","breed"
"97654","breeding"
"97672","breeze"
"97930","brew"
"98005","bribe"
"98149","bridge"
"98307","briefcase"
"98490","brilliant"
"98615","bring"
"98625","bring about"
"98831","brink"
"98892","brisk"
"98959","Bristol"
"98977","Britain"
"98996","British"
"99100","brittle"
"99405","brochure"
"99406","brochures"
"100200","bronze"
"100236","brood"
"100399","brothers"
"100679","browse"
"100818","bruise"
"101097","brutal"
"101318","bubble"
"101643","buck"
"101687","bucket"
"101739","buckle"
"101840","bud"
"101912","budget"
"102297","buffet"
"102379","bug"
"102508","building"
"102596","buildings"
"102692","bulb"
"102836","bulge"
"102869","bulk"
"103001","bull"
"103143","bulletin"
"103257","bully"
"103353","bump"
"103369","bumper"
"103418","bunch"
"103464","bundle"
"103511","bungalow"
"103564","bunk"
"103695","buoyant"
"103879","bureaucracy"
"103935","burgeon"
"103940","burger"
"103972","burglar"
"104026","burial"
"104416","burrow"
"104716","bus"
"104954","business"
"105216","bust"
"105246","bustle"
"105406","butcher"
"105634","butterfly"
"106195","buzz"
"106784","bypass"
"107124","cab"
"107225","cabin"
"107238","cabinet"
"107270","cable"
"108000","cafe"
"108009","cafeteria"
"108111","cages"
"108400","calamity"
"108687","calcium"
"109153","calendar"
"109460","call"
"110058","calorie"
"110406","Cambridge"
"110488","camera"
"110639","camp"
"110675","campaign"
"110929","campus"
"111039","Canadian"
"111080","canal"
"111284","cancel"
"111474","candidate"
"111507","candle"
"111552","candles"
"111597","cane"
"111860","cannon"
"112090","canteen"
"112243","canvas"
"112421","capacity"
"112516","cape"
"112769","capital"
"113607","capsule"
"113674","caption"
"113691","captive"
"113711","capture"
"114341","carbon"
"114890","carcase"
"115020","card"
"115307","cardinal"
"115568","cards"
"115591","care"
"115625","career"
"116467","carpenter"
"116493","carpet"
"116737","carrier"
"116882","carrot"
"116908","carry"
"117098","cart"
"117283","carton"
"117290","cartoon"
"117398","carve"
"117435","carving"
"117694","case"
"117903","cash"
"118162","cashier"
"118330","cassette"
"118446","cast"
"118758","castle"
"118851","casual"
"118881","casualty"
"119117","catalog"
"119150","catalogue"
"119188","catalyst"
"119488","catastrophe"
"119545","catch"
"119662","catching"
"119769","category"
"119814","cater"
"119829","catering"
"119928","cathedral"
"120108","catholic"
"120315","cattle"
"120602","cause"
"120636","causes"
"120649","caustic"
"120754","caution"
"120772","cautious"
"120830","cave"
"120916","caves"
"120975","cavity"
"121259","CD"
"121270","CD-ROM"
"121350","cease"
"122015","cellar"
"122421","cement"
"122525","cemetery"
"122593","censor"
"122624","census"
"122682","centenary"
"122688","center"
"122913","central"
"123212","centre"
"123564","century"
"123831","ceramic"
"124053","cereal"
"124320","ceremony"
"124514","certainty"
"124530","certificate"
"124645","certificates"
"124702","certify"
"125711","chair"
"125928","challenge"
"125950","challenging"
"126030","chamber"
"126172","champagne"
"126201","champion"
"126232","chance"
"126257","chancellor"
"126530","channel"
"126687","chant"
"126732","chaos"
"126771","chapel"
"126841","chapter"
"126989","characteristic"
"127053","characterize"
"127178","charge"
"127378","charges"
"127471","charity"
"127632","charm"
"127719","chart"
"127763","charter"
"127852","chase"
"127886","chasm"
"127918","chaste"
"127942","chat"
"128190","cheaper"
"128259","check"
"128528","checks"
"128544","checkup"
"128608","cheer"
"128625","cheerful"
"128650","cheese"
